"","","0.0 dB",
"10.0","Hz","-2995.0929073884913","-6.029349110576732E-4",
"11.89207115002721","Hz","-2940.889288302892","-6.029345963725063E-4",
"14.14213562373095","Hz","-2886.6781181558586","-6.029341529938392E-4",
"16.81792830507429","Hz","-2832.45626504539","-6.029335222592636E-4",
"19.999999999999996","Hz","-2778.2192956357007","-6.029326323186979E-4",
"23.784142300054416","Hz","-2723.9609319142737","-6.029313713042939E-4",
"28.284271247461895","Hz","-2669.672278733453","-6.029295855114469E-4",
"33.63585661014857","Hz","-2615.3407229485065","-6.02927057116176E-4",
"39.999999999999986","Hz","-2560.948359548415","-6.029234718880616E-4",
"47.568284600108825","Hz","-2506.4697314554614","-6.029183841746999E-4",
"56.568542494923776","Hz","-2451.868563194294","-6.029111541465682E-4",
"67.27171322029713","Hz","-2397.0929985786693","-6.029008545738179E-4",
"79.99999999999996","Hz","-2342.0685704815774","-6.028861444065114E-4",
"95.13656920021764","Hz","-2286.6876406526953","-6.028650445841777E-4",
"113.13708498984754","Hz","-2230.793147262217","-6.028345919730782E-4",
"134.54342644059423","Hz","-2174.1527301477727","-6.027902522873774E-4",
"159.9999999999999","Hz","-2116.4155411957954","-6.027248564350884E-4",
"190.27313840043522","Hz","-2057.03518895942","-6.026265400578268E-4",
"226.27416997969502","Hz","-1995.1184530948174","-6.024744407113758E-4",
"269.0868528811884","Hz","-1929.0821575156058","-6.022289169322903E-4",
"319.9999999999997","Hz","-1855.6623677176096","-6.018132755798433E-4",
"380.5462768008704","Hz","-1765.0172055394294","-6.014965692884289E-4",
"452.54833995939","Hz","-1648.1949069703958","-6.068512980164087E-4",
"538.1737057623768","Hz","-1576.9010525388446","-6.004837291584408E-4",
"639.9999999999994","Hz","-1528.0557905497872","-5.646010836244386E-4",
"761.0925536017407","Hz","-1495.5702254643722","-6.261438154524512E-4",
"905.09667991878","Hz","-1477.4025572912976","-6.02987228830898E-4",
"1076.3474115247536","Hz","-1472.9776542745915","-6.139065094430407E-4",
"1279.9999999999989","Hz","-1482.6975655221547","-6.099812594584364E-4",
"1522.1851072034815","Hz","-1507.9522305983771","-6.003785824759689E-4",
"1810.19335983756","Hz","-1551.5717101133694","-6.056925913071609E-4",
"2152.6948230495072","Hz","-1619.08017450751","-6.074351051665872E-4",
"2559.9999999999977","Hz","-1722.333970557803","-6.037109428689291E-4",
"3044.370214406963","Hz","-1894.2623330601577","-6.087682127144944E-4",
"3620.38671967512","Hz","-2248.9778895053205","-6.076694999137544E-4",
"4305.3896460990145","Hz","-2320.350982615517","-6.075807127672306E-4",
"5119.999999999995","Hz","-1827.3761320980864","-6.036502868482785E-4",
"6088.740428813926","Hz","-1569.5740918360787","-6.012359283431579E-4",
"7240.77343935024","Hz","-1495.8059951566227","-6.275506063957437E-4",
"8610.779292198029","Hz","-1538.1039617584554","-5.837136852733238E-4",
"10239.99999999999","Hz","-1633.70415397097","-6.044604426733713E-4",
"12177.480857627852","Hz","-2493.962691984578","-6.074853131394775E-4",
